saddr,daddr,ipid,ttl,sport,dport,seqnum,acknum,window,classification,success,repeat,cooldown,timestamp-str
104.252.96.149,10.0.2.15,2188,64,80,38307,2141632001,1051184310,65535,synack,1,0,0,2019-08-18T12:53:32.091-0500
50.31.108.63,10.0.2.15,2189,64,80,45479,2141760001,3277863421,65535,synack,1,0,0,2019-08-18T12:53:32.091-0500
52.209.242.64,10.0.2.15,2190,64,80,52216,2141824001,2727963535,65535,synack,1,0,0,2019-08-18T12:53:32.091-0500
120.23.171.11,10.0.2.15,2191,64,80,56303,2141888001,3520305982,65535,synack,1,0,0,2019-08-18T12:53:33.115-0500
198.13.122.139,10.0.2.15,2192,64,80,38488,2142016001,3394860672,65535,synack,1,0,0,2019-08-18T12:53:33.115-0500
147.135.151.203,10.0.2.15,2196,64,80,34281,2142208001,946517616,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
220.90.221.94,10.0.2.15,2198,64,80,56853,2142272001,777687384,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
104.197.65.78,10.0.2.15,2202,64,80,53533,2142336001,2053041880,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
104.72.228.133,10.0.2.15,2203,64,80,50918,2142400001,3305297121,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
40.121.8.177,10.0.2.15,2204,64,80,42037,2142464001,299120588,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
121.41.57.201,10.0.2.15,2205,64,80,45959,2142528001,1507500286,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
83.175.145.40,10.0.2.15,2208,64,80,33436,2142656001,358218797,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
71.9.154.83,10.0.2.15,2209,64,80,49004,2142720001,1113874506,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
34.98.69.250,10.0.2.15,2210,64,80,60628,2142784001,596152572,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
154.30.206.251,10.0.2.15,2213,64,80,38530,2142848001,2276185734,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
35.210.250.84,10.0.2.15,2216,64,80,50821,2142912001,767733102,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
104.28.241.248,10.0.2.15,2219,64,80,50300,2142976001,1627419832,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
107.160.102.102,10.0.2.15,2220,64,80,38998,2143040001,278354440,65535,synack,1,0,0,2019-08-18T12:53:34.139-0500
104.113.230.86,10.0.2.15,2223,64,80,38611,2143168001,3685964426,65535,synack,1,0,0,2019-08-18T12:53:35.163-0500
13.233.254.75,10.0.2.15,2224,64,80,38270,2143232001,3111946810,65535,synack,1,0,0,2019-08-18T12:53:35.163-0500
109.73.187.205,10.0.2.15,2225,64,80,43592,2143296001,2148228647,65535,synack,1,0,0,2019-08-18T12:53:35.163-0500
184.171.141.42,10.0.2.15,2230,64,80,40158,2143424001,2740260494,65535,synack,1,0,0,2019-08-18T12:53:35.163-0500
78.111.181.127,10.0.2.15,2231,64,80,56421,2143488001,2901656484,65535,synack,1,0,0,2019-08-18T12:53:35.163-0500
123.6.25.23,10.0.2.15,2235,64,80,38504,2143552001,1745208458,65535,synack,1,0,0,2019-08-18T12:53:35.163-0500
45.205.90.224,10.0.2.15,2237,64,80,47649,2143680001,2616854810,65535,synack,1,0,0,2019-08-18T12:53:36.186-0500
23.52.156.180,10.0.2.15,2240,64,80,52928,2143744001,1174452456,65535,synack,1,0,0,2019-08-18T12:53:36.186-0500
120.23.213.86,10.0.2.15,2243,64,80,51542,2143872001,1822012879,65535,synack,1,0,0,2019-08-18T12:53:36.187-0500
72.14.182.187,10.0.2.15,2244,64,80,47401,2143936001,63221352,65535,synack,1,0,0,2019-08-18T12:53:36.187-0500
