1:13:25 31% (2h46m left); send: 929510 292 p/s (210 p/s avg); recv: 3966 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:26 31% (2h46m left); send: 929808 297 p/s (211 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:27 31% (2h46m left); send: 929811 2 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:28 31% (2h46m left); send: 929811 0 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:29 31% (2h46m left); send: 929811 0 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:30 31% (2h46m left); send: 929811 0 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:31 31% (2h46m left); send: 929811 0 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:32 31% (2h46m left); send: 929811 0 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:33 31% (2h46m left); send: 929811 0 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:34 31% (2h46m left); send: 930101 288 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:35 31% (2h46m left); send: 930388 286 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:36 31% (2h46m left); send: 930624 235 p/s (210 p/s avg); recv: 3967 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:37 31% (2h46m left); send: 930908 283 p/s (210 p/s avg); recv: 3971 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:38 31% (2h46m left); send: 931162 253 p/s (210 p/s avg); recv: 3971 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:39 31% (2h46m left); send: 931444 281 p/s (210 p/s avg); recv: 3977 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:40 31% (2h46m left); send: 931711 266 p/s (210 p/s avg); recv: 3980 2 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:41 31% (2h46m left); send: 932005 293 p/s (210 p/s avg); recv: 3982 1 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:42 31% (2h46m left); send: 932301 295 p/s (210 p/s avg); recv: 3988 5 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:43 31% (2h46m left); send: 932581 279 p/s (210 p/s avg); recv: 3995 6 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:44 31% (2h46m left); send: 932841 259 p/s (210 p/s avg); recv: 4000 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:45 31% (2h46m left); send: 933102 260 p/s (210 p/s avg); recv: 4007 6 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:46 31% (2h46m left); send: 933384 281 p/s (210 p/s avg); recv: 4008 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:47 31% (2h46m left); send: 933683 298 p/s (210 p/s avg); recv: 4013 4 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:48 31% (2h46m left); send: 933968 284 p/s (210 p/s avg); recv: 4017 3 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:49 31% (2h46m left); send: 934255 286 p/s (210 p/s avg); recv: 4026 8 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:50 31% (2h46m left); send: 934352 96 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:51 31% (2h46m left); send: 934352 0 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:52 31% (2h46m left); send: 934352 0 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:53 31% (2h46m left); send: 934352 0 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:54 31% (2h46m left); send: 934507 154 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:55 31% (2h46m left); send: 934658 150 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:56 31% (2h46m left); send: 934668 9 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:57 31% (2h46m left); send: 934928 259 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:58 31% (2h46m left); send: 935225 296 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:13:59 31% (2h46m left); send: 935513 287 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:00 31% (2h46m left); send: 935785 271 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:01 31% (2h46m left); send: 936068 282 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:02 31% (2h46m left); send: 936346 277 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:03 31% (2h46m left); send: 936634 287 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:04 31% (2h46m left); send: 936919 284 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:05 31% (2h46m left); send: 937207 287 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:06 31% (2h46m left); send: 937500 292 p/s (210 p/s avg); recv: 4026 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:07 31% (2h46m left); send: 937760 259 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:08 31% (2h46m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
1:14:09 31% (2h45m left); send: 937760 0 p/s (210 p/s avg); recv: 4027 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.43%
